Key;Time
Right;8,273931
Left;8,690379
Right;9,190207
Up;9,607882
Down;10,06604
Right;11,89915
Left;12,85702
Down;13,35698
Up;13,81605
Right;14,27499
Up;14,73245
Right;15,1902
Left;15,68882
Down;16,64915
Up;17,06548
Down;17,52353
Left;18,44114
Up;18,89898
Down;19,35709
Right;19,81515
Up;20,27393
Left;20,48212
Down;20,7314
Up;21,23298
Down;21,69099
Right;22,14873
Up;22,60737
Down;23,06526
Left;23,97955
Down;24,89849
Up;25,81597
Right;26,24144
Down;26,73228
Up;28,60768
Right;29,02344
Left;29,48236
Right;29,94041
Left;30,14841
Down;31,36536
Right;31,81853
Down;32,27365
Up;32,73198
Left;33,19044
Right;33,64955
Left;33,85707
Down;34,3576
Right;35,02367
Down;35,52465
Up;35,98182
Left;36,39912
Down;36,89882
Right;37,10774
Down;37,3157
Left;37,56544
Down;38,73219
Left;39,19048
Right;39,65189
Left;40,06527
Down;40,52363
Up;40,77343
Right;40,98295
Down;41,23182
Up;41,94122
Left;42,39863
Right;42,89901
Down;43,31667
Up;43,8153
Left;44,27401
Right;44,73235
Left;44,94049
Down;45,44138
Up;46,06544
Left;46,56551
Right;47,02427
Left;47,48429
Up;47,9403
Left;48,19048
Right;48,39877
Left;48,64848
Down;49,14899
Up;49,81564
Down;50,27341
Right;50,73291
Up;51,64916
Left;52,10673
Right;52,31586
Right;53,48212
Left;54,44026
Left;55,35755
Up;55,56599
Right;55,77108
Left;56,02374
Up;56,73232
Down;57,19056
Left;57,64875
Up;58,06505
Down;59,02373
Right;59,23687
Down;59,44057
Left;59,69084
Up;60,14874
Down;60,8155
Up;61,31548
Right;61,7326
Down;62,23232
Up;62,64854
Left;62,89872
Down;63,10675
Up;63,31527
Left;64,02335
Up;64,48193
Down;64,98238
Left;65,44012
Right;66,35765
Up;66,81527
Down;67,02355
Up;68,2331
Right;68,69232
Left;69,1487
Down;69,60719
Left;70,02458
Down;70,53325
Left;70,9834
Right;71,44049
Left;71,89893
Right;72,3578
Up;72,81661
Down;73,77446
Left;74,69122
Right;75,14965
Down;75,56674
Up;75,81526
Left;76,06522
Up;76,52399
Left;76,98205
Down;77,44053
Up;77,90542
Down;78,36449
Down;78,81531
Right;79,27417
Left;79,73224
Right;80,2326
Left;81,14841
Right;81,60698
Down;81,81515
Left;82,06498
Right;82,98206
Down;83,44038
Up;83,64909
Left;83,89865
Down;84,35741
Up;84,77426
Right;85,27402
Down;85,77406
Left;86,19666
Down;86,69052
Up;87,14857
Right;87,35858
Down;87,56567
