Key;Time
Right;8,273931
Down;8,690379
Right;9,190207
Up;9,607882
Down;10,06604
Down;11,89915
Up;12,85702
Right;13,35698
Down;13,81605
Up;14,27499
Left;14,73245
Down;15,1902
Up;15,68882
Left;16,64915
Right;17,06548
Up;17,52353
Right;18,44114
Left;18,89898
Down;19,35709
Right;19,81515
Up;20,27393
Left;20,48212
Right;20,7314
Down;21,23298
Left;21,69099
Right;22,14873
Left;22,60737
Right;23,06526
Down;23,97955
Up;24,89849
Down;25,81597
Up;26,24144
Right;26,73228
Down;28,60768
Up;29,02344
Down;29,48236
Left;29,94041
Right;30,14841
Up;31,36536
Down;31,81853
Right;32,27365
Down;32,73198
Left;33,19044
Right;33,64955
Down;33,85707
Up;34,3576
Left;35,02367
Right;35,52465
Down;35,98182
Up;36,39912
Left;36,89882
Down;37,10774
Right;37,3157
Left;37,56544
Right;38,73219
Up;39,19048
Left;39,65189
Up;40,06527
Right;40,52363
Down;40,77343
Up;40,98295
Down;41,23182
Down;41,94122
Right;42,39863
Left;42,89901
Right;43,31667
Left;43,8153
Down;44,27401
Right;44,73235
Down;44,94049
Up;45,44138
Down;46,06544
Up;46,56551
Right;47,02427
Down;47,48429
Up;47,9403
Right;48,19048
Up;48,39877
Right;48,64848
Left;49,14899
Down;49,81564
Right;50,27341
Up;50,73291
Right;51,64916
Left;52,10673
Right;52,31586
Down;53,48212
Right;54,44026
Left;55,35755
Down;55,56599
Right;55,77108
Up;56,02374
Left;56,73232
Down;57,19056
Up;57,64875
Right;58,06505
Right;59,02373
Left;59,23687
Down;59,44057
Left;59,69084
Up;60,14874
Right;60,8155
Up;61,31548
Left;61,7326
Right;62,23232
Down;62,64854
Up;62,89872
Right;63,10675
Left;63,31527
Right;64,02335
Down;64,48193
Up;64,98238
Up;65,44012
Down;66,35765
Left;66,81527
Down;67,02355
Up;68,2331
Left;68,69232
Down;69,1487
Left;69,60719
Right;70,02458
Left;70,53325
Up;70,9834
Down;71,44049
Up;71,89893
Down;72,3578
Up;72,81661
Down;73,77446
Right;74,69122
Down;75,14965
Up;75,56674
Left;75,81526
Up;76,06522
Down;76,52399
Left;76,98205
Right;77,44053
Left;77,90542
Right;78,36449
Left;78,81531
Down;79,27417
Up;79,73224
Left;80,2326
Down;81,14841
Right;81,60698
Up;81,81515
Left;82,06498
Up;82,98206
Down;83,44038
Right;83,64909
Left;83,89865
Up;84,35741
Down;84,77426
Up;85,27402
Left;85,77406
Up;86,19666
Right;86,69052
Up;87,14857
Left;87,35858
Right;87,56567
